Activity Type,Date,Favorite,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress ScoreÂ®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Total Routes,Climb Time,Max Ascent,Total Ascent,Total Rest,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,10/29/2021 01:14,FALSE,0,237,00:33:22,115,136,1.4,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,165,23,--,--,--,--,--,00:00,80.6,00:00,No,33:21.6,1,0,--,--,--,00:13:07,00:33:22,--,--
Running,10/27/2021 06:47,FALSE,4.4,511,00:40:50,153,178,3.3,162,184,09:16,06:09,41,60,1.07,8.5,9.2,275,49.4% L / 50.6% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,84.2,00:00,No,00:52.4,6,0,26,11,41,00:40:48,00:40:50,159,193
Strength Training,10/27/2021 01:20,FALSE,0,86,00:17:14,98,114,0.3,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,75,15,--,--,--,--,--,00:00,78.8,00:00,No,17:14.3,1,0,--,--,--,05:42.4,00:17:14,--,--
Walking,10/26/2021 05:55,FALSE,4.35,458,01:09:51,99,114,1.8,125,134,16:03,14:59,30,56,0.8,0,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,78.8,00:00,No,05:26.6,5,0,17,17,17,01:09:21,01:09:51,153,186
Strength Training,10/25/2021 23:44,FALSE,0,196,00:25:27,117,150,1.3,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,94,18,--,--,--,--,--,00:00,78.8,00:00,No,25:26.4,1,0,16,16,16,09:02.3,00:25:26,--,--
Running,10/25/2021 05:26,FALSE,3.14,372,00:34:45,139,157,2.5,152,167,11:05,09:02,7,17,0.95,9.4,9.2,291,49.3% L / 50.7% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,80.6,00:00,No,02:45.0,4,0,21,12,34,00:34:44,00:34:45,166,180
Walking,10/24/2021 05:14,FALSE,4.35,442,01:12:34,96,111,1.7,123,170,16:40,13:53,35,87,0.78,0,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,75.2,00:00,No,05:44.9,5,0,18,18,18,01:12:32,01:17:05,66,144
Strength Training,10/23/2021 23:27,FALSE,0,225,00:31:50,117,142,1.5,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,109,21,--,--,--,--,--,00:00,78.8,00:00,No,31:49.8,1,0,--,--,--,00:11:05,00:31:50,--,--
Running,10/23/2021 06:35,FALSE,4.55,546,00:42:36,160,177,3.7,161,178,09:22,08:23,30,89,1.06,8.2,9,271,49.5% L / 50.5% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,80.6,00:00,No,06:26.6,5,0,31,12,39,00:42:36,00:42:36,118,180
Strength Training,10/22/2021 23:59,FALSE,0,211,00:31:36,115,145,1.5,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,115,26,--,--,--,--,--,00:00,80.6,00:00,No,31:36.4,1,0,--,--,--,00:13:19,00:31:36,--,--
Walking,10/22/2021 06:17,FALSE,1.11,113,00:20:02,94,105,0.4,112,126,18:03,15:12,8,45,0.8,0,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,84.2,00:00,No,01:47.8,2,0,--,--,--,00:19:09,00:20:02,93,132
Pool Swimming,10/21/2021 05:23,FALSE,975,356,00:41:41,145,170,3,--,--,03:16,01:16,--,--,0,0,0,--,--,0,0,0,805,70,25,--,--,--,--,--,--,--,00:00,0,00:00,No,00:10.0,12,0,--,--,--,00:31:52,00:43:56,--,--
Running,10/20/2021 05:26,FALSE,3.43,402,00:31:10,155,172,3.4,160,168,09:04,08:20,50,38,1.11,8.8,10.1,274,49.4% L / 50.6% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,80.6,00:00,No,03:54.2,4,0,35,18,43,00:31:09,00:31:10,169,192
Strength Training,10/18/2021 18:03,FALSE,0,114,00:16:53,114,142,1.2,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,64,14,--,--,--,--,--,00:00,80.6,00:00,No,16:52.6,1,0,--,--,--,08:32.4,00:16:53,--,--
Running,10/18/2021 05:37,FALSE,5.6,689,00:57:54,159,188,3.6,154,184,10:20,05:53,21,63,1,9.5,9.6,282,49.3% L / 50.7% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,82.4,00:00,No,00:40.0,22,0,32,12,41,00:57:48,01:21:01,109,149
Strength Training,10/17/2021 01:02,FALSE,0,190,00:26:48,115,139,1.5,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,77,18,--,--,--,--,--,00:00,78.8,00:00,No,26:47.6,1,0,--,--,--,00:12:04,00:26:48,--,--
Running,10/16/2021 05:26,FALSE,3.74,472,00:36:40,163,181,3.4,159,165,09:49,09:18,17,45,1.03,9.3,9.8,281,49.3% L / 50.7% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,84.2,00:00,No,07:08.6,4,0,34,19,40,00:36:38,00:36:40,138,180
Strength Training,10/14/2021 21:47,FALSE,0,84,00:16:08,99,121,0.4,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,21,4,--,--,--,--,--,00:00,82.4,00:00,No,16:08.4,1,0,--,--,--,03:45.5,00:19:44,--,--
Running,10/4/2021 08:07,FALSE,6.77,849,01:05:14,162,183,4,160,175,09:38,07:17,100,114,1.05,9.4,9.9,274,49.5% L / 50.5% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,80.6,00:00,No,07:39.4,7,0,33,19,41,01:05:12,01:05:14,"2,096","2,182" 
